sura,n_verses,total_chars,mean_chars_per_verse,total_chars_no_diac,total_words,mean_words_per_verse
1,7,267,38.142857142857146,143,29,4.142857142857143
2,286,50855,177.8146853146853,26366,6420,22.447552447552447
3,200,28927,144.635,15065,3654,18.27
4,176,31452,178.70454545454547,16384,3894,22.125
5,120,23567,196.39166666666668,12281,2950,24.583333333333332
6,165,24974,151.35757575757575,12812,3130,18.96969696969697
7,206,28002,135.93203883495147,14551,3436,16.679611650485437
8,75,10467,139.56,5445,1290,17.2
9,129,21343,165.4496124031008,11141,2615,20.271317829457363
10,109,14755,135.36697247706422,7661,1886,17.30275229357798
11,123,15353,124.82113821138212,7884,1963,15.959349593495935
12,111,14272,128.57657657657657,7344,1814,16.34234234234234
13,43,6990,162.5581395348837,3584,887,20.627906976744185
14,52,6905,132.78846153846155,3565,849,16.326923076923077
15,99,5597,56.535353535353536,2910,677,6.838383838383838
16,128,15263,119.2421875,7868,1922,15.015625
17,111,12975,116.89189189189189,6701,1600,14.414414414414415
18,110,12800,116.36363636363636,6609,1616,14.690909090909091
19,98,7806,79.65306122448979,3982,996,10.16326530612245
20,135,10634,78.77037037037037,5455,1368,10.133333333333333
21,112,9873,88.15178571428571,5142,1207,10.776785714285714
22,78,10335,132.5,5352,1328,17.025641025641026
23,118,8694,73.67796610169492,4521,1084,9.186440677966102
24,64,11234,175.53125,5787,1387,21.671875
25,77,7509,97.51948051948052,3919,919,11.935064935064934
26,227,10809,47.61674008810573,5674,1355,5.969162995594714
27,93,9362,100.66666666666667,4857,1177,12.655913978494624
28,88,11558,131.3409090909091,5996,1462,16.613636363636363
29,69,8364,121.21739130434783,4373,1017,14.73913043478261
30,60,6805,113.41666666666667,3519,843,14.05
31,34,4255,125.1470588235294,2192,567,16.676470588235293
32,30,3047,101.56666666666666,1592,383,12.766666666666667
33,73,11118,152.3013698630137,5806,1351,18.506849315068493
34,54,7016,129.92592592592592,3632,907,16.796296296296298
35,45,6304,140.0888888888889,3253,805,17.88888888888889
36,83,5951,71.6987951807229,3096,741,8.927710843373495
37,182,7518,41.30769230769231,3934,884,4.857142857142857
38,88,6041,68.64772727272727,3106,771,8.761363636363637
39,75,9503,126.70666666666666,4901,1212,16.16
40,85,9888,116.32941176470588,5161,1262,14.847058823529412
41,54,6589,122.01851851851852,3407,823,15.24074074074074
42,53,6853,129.30188679245282,3549,886,16.71698113207547
43,89,7091,79.67415730337079,3655,859,9.651685393258427
44,59,2889,48.96610169491525,1505,362,6.135593220338983
45,37,4092,110.5945945945946,2122,510,13.783783783783784
46,35,5214,148.97142857142856,2704,660,18.857142857142858
47,38,4774,125.63157894736842,2459,561,14.763157894736842
48,29,4841,166.93103448275863,2528,583,20.103448275862068
49,18,3009,167.16666666666666,1559,368,20.444444444444443
50,45,2980,66.22222222222223,1532,390,8.666666666666666
51,60,3014,50.233333333333334,1568,376,6.266666666666667
52,49,2615,53.36734693877551,1348,327,6.673469387755102
53,62,2832,45.67741935483871,1459,376,6.064516129032258
54,55,2961,53.836363636363636,1495,358,6.509090909090909
55,78,3291,42.19230769230769,1697,377,4.833333333333333
56,96,3435,35.78125,1783,387,4.03125
57,29,4932,170.06896551724137,2573,617,21.275862068965516
58,22,3998,181.72727272727272,2074,495,22.5
59,24,3808,158.66666666666666,1995,465,19.375
60,13,3056,235.07692307692307,1584,370,28.46153846153846
61,14,1887,134.78571428571428,987,231,16.5
62,11,1497,136.0909090909091,791,190,17.272727272727273
63,11,1592,144.72727272727272,824,189,17.181818181818183
64,18,2141,118.94444444444444,1113,266,14.777777777777779
65,12,2434,202.83333333333334,1228,298,24.833333333333332
66,12,2184,182.0,1124,262,21.833333333333332
67,30,2643,88.1,1374,344,11.466666666666667
68,52,2531,48.67307692307692,1310,312,6.0
69,52,2225,42.78846153846154,1150,274,5.269230769230769
70,44,1915,43.52272727272727,990,234,5.318181818181818
71,28,1894,67.64285714285714,984,237,8.464285714285714
72,28,2214,79.07142857142857,1134,290,10.357142857142858
73,20,1680,84.0,876,215,10.75
74,56,2062,36.82142857142857,1060,268,4.785714285714286
75,40,1384,34.6,701,174,4.35
76,31,2121,68.41935483870968,1113,252,8.129032258064516
77,50,1692,33.84,859,194,3.88
78,40,1549,38.725,814,180,4.5
79,46,1554,33.78260869565217,806,193,4.195652173913044
80,42,1167,27.785714285714285,573,137,3.261904761904762
81,29,863,29.75862068965517,454,112,3.8620689655172415
82,19,676,35.578947368421055,353,86,4.526315789473684
83,36,1481,41.138888888888886,777,174,4.833333333333333
84,25,899,35.96,468,115,4.6
85,22,921,41.86363636363637,490,121,5.5
86,17,527,31.0,274,71,4.176470588235294
87,19,612,32.21052631578947,317,79,4.157894736842105
88,26,781,30.03846153846154,403,96,3.6923076923076925
89,30,1174,39.13333333333333,604,150,5.0
90,20,707,35.35,367,89,4.45
91,15,504,33.6,272,64,4.266666666666667
92,21,655,31.19047619047619,334,83,3.9523809523809526
93,11,364,33.09090909090909,186,46,4.181818181818182
94,8,231,28.875,122,33,4.125
95,8,341,42.625,184,41,5.125
96,19,597,31.42105263157895,310,82,4.315789473684211
97,5,264,52.8,135,35,7.0
98,8,829,103.625,428,100,12.5
99,8,342,42.75,178,40,5.0
100,11,369,33.54545454545455,188,47,4.2727272727272725
101,11,332,30.181818181818183,178,42,3.8181818181818183
102,8,274,34.25,143,32,4.0
103,3,173,57.666666666666664,94,21,7.0
104,9,309,34.333333333333336,154,37,4.111111111111111
105,5,226,45.2,117,27,5.4
106,4,187,46.75,98,22,5.5
107,7,249,35.57142857142857,134,30,4.285714285714286
108,3,122,40.666666666666664,63,15,5.0
109,6,225,37.5,119,30,5.0
110,3,189,63.0,100,25,8.333333333333334
111,5,197,39.4,101,28,5.6
112,4,127,31.75,67,19,4.75
113,5,174,34.8,93,27,5.4
114,6,182,30.333333333333332,101,25,4.166666666666667
