norm,side,context_entropy,n_context
م,prev,5.858259295023759,25269
م,next,6.1648003596974,25269
ل,prev,6.084166510968667,21025
ل,next,6.04021466793731,21025
ن,prev,5.382980634064285,16891
ن,next,6.272091741825608,16891
و,prev,6.014557878738282,15764
و,next,5.8372818620476306,15764
ا,prev,4.969914273132669,15466
ا,next,5.540365600677931,15466
ه,prev,5.70880128134924,13906
ه,next,5.235578720052465,13906
ي,prev,5.6547996954873,10895
ي,next,6.418359316859364,10895
ر,prev,6.618364040794178,10631
ر,next,6.781195918767421,10631
ب,prev,6.334464416242657,10411
ب,next,6.795860271801556,10411
ك,prev,6.143623953656839,10018
ك,next,5.9431383062523375,10018
ت,prev,5.845330985224826,9025
ت,next,6.6675284242548924,9025
ع,prev,6.190370760229548,8934
ع,next,5.888258866224635,8934
أ,prev,5.41142054094911,8900
أ,next,6.107542397673169,8900
ف,prev,6.232316814413096,8196
ف,next,6.070187083624793,8196
ـ,prev,4.794799693481,6848
ـ,next,5.853453168308904,6848
ٱل,prev,5.291022040739672,6844
ٱل,next,4.354229922148234,6844
ق,prev,5.883359418815635,6690
ق,next,5.961303642743037,6690
ى,prev,4.80883376725752,6598
ى,next,5.524183820114423,6598
إ,prev,5.269803582897105,5088
إ,next,3.376305835639845,5088
ذ,prev,4.2421694713175535,4681
ذ,next,4.819071256875422,4681
س,prev,5.9803802777364305,4636
س,next,6.533337315087904,4636
د,prev,5.732674792754561,4571
د,next,6.670661223089395,4571
ح,prev,5.598067165051301,4122
ح,next,6.406564093631285,4122
ون,prev,4.414222464490451,3591
ون,next,3.7233822832262424,3591
ج,prev,5.583137884212336,3149
ج,next,6.041735967512597,3149
ين,prev,3.5572462471056046,3084
ين,next,3.8545597625481376,3084
ء,prev,3.4462239995995763,2782
ء,next,5.704118627991701,2782
ٱلل,prev,5.20119692368125,2684
ٱلل,next,1.6069940274915389,2684
ة,prev,5.082762485158517,2344
ة,next,4.895262723401617,2344
خ,prev,5.465433994378155,2232
خ,next,5.360627477135655,2232
ش,prev,5.601692442217118,1819
ش,next,5.372477452513633,1819
ص,prev,5.610253654311762,1591
ص,next,6.136678781597762,1591
ض,prev,4.293661896315053,1568
ض,next,5.9932437855742515,1568
ال,prev,2.009115924214827,1303
ال,next,5.1205950788567565,1303
ث,prev,5.4408690444199745,1229
ث,next,4.941479117314561,1229
غ,prev,5.312540212291482,1180
غ,next,5.424125208420766,1180
ز,prev,5.466716404790631,1160
ز,next,6.399477267092587,1160
ان,prev,2.304443373578149,1131
ان,next,4.938616738854216,1131
ط,prev,5.711370712478077,1068
ط,next,6.092605659634159,1068
يم,prev,3.189851454705831,1047
يم,next,3.0015280876735915,1047
ئ,prev,3.212293377729915,906
ئ,next,4.578183793361834,906
اب,prev,3.3307395715319856,750
اب,next,5.0706726615035365,750
ؤ,prev,2.9390693765949543,705
ؤ,next,2.82427214692401,705
ام,prev,2.4298850078711327,609
ام,next,3.7172838899626823,609
ظ,prev,4.876486234442901,580
ظ,next,4.794323289881792,580
ٱلس,prev,4.766664280579173,580
ٱلس,next,3.21358193799421,580
ول,prev,1.7812465892022669,573
ول,next,4.811471931885911,573
يه,prev,1.899608091736979,573
يه,next,3.5740907674316835,573
ٱلن,prev,4.62280351928766,559
ٱلن,next,4.226424112868843,559
نت,prev,1.9264533909968435,553
نت,next,3.030924673850436,553
ير,prev,3.541938775786597,527
ير,next,2.98966292613669,527
ٱلر,prev,4.197572495221117,519
ٱلر,next,3.1188354750325002,519
يل,prev,3.2752704160736448,500
يل,next,3.9464165422844424,500
ار,prev,4.315076463314013,498
ار,next,5.318889903332572,498
اد,prev,3.7951422558869194,395
اد,next,5.412751827142721,395
اي,prev,1.2201478609829133,394
اي,next,1.4530110526894477,394
ور,prev,3.9214976056160986,384
ور,next,3.8615911942488874,384
وه,prev,4.266693075632546,370
وه,next,4.223809725847222,370
ات,prev,2.8314789868793646,339
ات,next,4.601706328090715,339
يد,prev,3.0315525320467938,334
يد,next,3.824784282361883,334
ٱلص,prev,3.8239082835343523,296
ٱلص,next,2.7927704553438635,296
اس,prev,1.9267019199195414,294
اس,next,4.852032090520962,294
نف,prev,1.6122387729497898,275
نف,next,2.9772908675978003,275
ٱت,prev,3.2053256528739995,268
ٱت,next,2.531713291420573,268
نك,prev,2.757220893918792,225
نك,next,3.250965917093275,225
نز,prev,1.8779537290793056,224
نز,next,2.157414655134422,224
وب,prev,2.280610615261496,215
وب,next,3.870320025756503,215
ند,prev,0.4978065432538714,213
ند,next,3.5522160021903066,213
ٱلد,prev,4.037604256713176,211
ٱلد,next,2.5697990442693426,211
اخ,prev,1.079650132985437,211
اخ,next,1.5253337810332155,211
يع,prev,1.9479851634606644,207
يع,next,3.773634853459333,207
ٱلش,prev,4.7075757030256575,197
ٱلش,next,3.3236754184129325,197
وس,prev,1.5907186024151492,186
وس,next,2.6554536523441756,186
ود,prev,3.1022865158277,158
ود,next,4.492571584466475,158
وت,prev,2.520170490062693,146
وت,next,4.237797556451502,146
يب,prev,2.435293068987069,142
يب,next,4.072277579538901,142
ٱلظ,prev,4.262634626167002,131
ٱلظ,next,1.584066200491183,131
اف,prev,2.607168714343874,119
اف,next,4.867031348633469,119
نس,prev,1.543213368501497,112
نس,next,2.741550861239558,112
يز,prev,0.5389198916350426,111
يز,next,2.840336932938574,111
وح,prev,2.4749695177006976,107
وح,next,4.160320331399319,107
اع,prev,3.3297259863171025,102
اع,next,4.45386927215084,102
اق,prev,4.22742430057146,102
اق,next,4.738462284738242,102
يك,prev,3.7290808501739057,95
يك,next,2.3179813015659194,95
وم,prev,3.1750393271923127,93
وم,next,3.5802776274359087,93
وك,prev,3.8208740470994194,92
وك,next,3.1674389730147254,92
يق,prev,2.629267262973285,90
يق,next,3.9341097306463655,90
ٱلط,prev,3.9131865973276403,78
ٱلط,next,3.424108804487817,78
اه,prev,4.099289886359991,78
اه,next,4.478534308950088,78
وف,prev,2.1998788574489287,71
وف,next,3.660910633310952,71
يث,prev,2.4001188124387736,70
يث,next,3.5378328373822496,70
وق,prev,2.416682108517938,68
وق,next,3.1379532962728347,68
اح,prev,2.9118067588950005,68
اح,next,4.125932282604708,68
ٱد,prev,3.532160634890895,67
ٱد,next,1.7047245237063542,67
نذ,prev,2.4277718054544977,65
نذ,next,2.1927977295274483,65
اج,prev,3.2243369865973963,63
اج,next,4.026490973378193,63
نظ,prev,2.130357209052649,63
نظ,next,1.2195762023350056,63
نص,prev,2.301612426974811,62
نص,next,2.461543800661392,62
ٱلت,prev,4.176479454072811,61
ٱلت,next,3.240884468574507,61
ٱلز,prev,3.9255127751004393,60
ٱلز,next,3.004962048550219,60
او,prev,3.3926918381874716,59
او,next,4.08188573028905,59
لن,prev,0.7676515870096943,58
لن,next,0.7192123754199092,58
اذ,prev,2.1403940513718003,54
اذ,next,3.0252592551573456,54
وع,prev,3.1058361942748287,53
وع,next,2.8739354368428423,53
يت,prev,3.068306135689454,52
يت,next,3.9732563041083906,52
ٱلذ,prev,4.335970858562453,46
ٱلذ,next,2.628750206733722,46
اك,prev,3.721521673651732,46
اك,next,4.110655032987071,46
يس,prev,1.7948658581933847,43
يس,next,3.2018116278309856,43
اص,prev,3.18378340898679,40
اص,next,4.284829508468636,40
ٱلض,prev,3.394588496620702,40
ٱلض,next,2.8778126350500446,40
يح,prev,2.007788925423528,38
يح,next,4.13569955271473,38
دت,prev,3.720582776120044,38
دت,next,3.6278348079087426,38
يف,prev,2.8050520039357933,36
يف,next,2.4319131950309814,36
نق,prev,2.6013071038617035,36
نق,next,2.8882870712203976,36
نج,prev,1.5941352236768243,35
نج,next,2.4362874915453823,35
اط,prev,2.8451442836615737,34
اط,next,3.995715327141641,34
نش,prev,2.189230550868043,33
نش,next,3.270778209852545,33
ٱنت,prev,2.7197075509206106,30
ٱنت,next,2.813757678279827,30
وط,prev,0.43101676897104924,29
وط,next,3.0362940494788653,29
اث,prev,2.4017032636042037,28
اث,next,3.807354922030192,28
نث,prev,0.6052912052218166,27
نث,next,1.6619328723663687,27
از,prev,3.104903431381895,26
از,next,3.530963873636118,26
ٱلث,prev,3.4790795706025346,25
ٱلث,next,2.572878689327604,25
يض,prev,1.8647869792495975,24
يض,next,3.28832018909013,24
اض,prev,2.713687438781815,22
اض,next,3.3176400059489053,22
ٱث,prev,3.3176400059489057,22
ٱث,next,0.5304060778262762,22
يظ,prev,1.42267546830689,22
يظ,next,1.8429078545693018,22
وج,prev,0.9917601481766455,20
وج,next,3.246439344655146,20
لر,prev,0.5225593745340553,17
لر,next,1.6589797521184346,17
يط,prev,-1.4428232973175175e-12,17
يط,next,2.4248356349775415,17
نط,prev,2.124999999991344,16
نط,next,1.9197367177948264,16
اغ,prev,2.1492553971612867,15
اغ,next,3.3232314287817517,15
وذ,prev,1.5216406363375479,14
وذ,next,2.2608203181615605,14
وث,prev,1.3520301017521823,13
وث,next,2.034940913947572,13
يص,prev,1.325011210819849,12
يص,next,2.2516291673791664,12
ٱنف,prev,2.751629167376281,12
ٱنف,next,2.751629167376281,12
وز,prev,2.1887218755336533,12
وز,next,2.625814583683812,12
وص,prev,1.9473387961788973,12
وص,next,2.8553885421959917,12
وض,prev,1.491114850049415,11
وض,next,2.550340709536289,11
ٱنق,prev,2.6416041678584943,9
ٱنق,next,0.5032583347727604,9
ٱط,prev,2.50325833476699,9
ٱط,next,2.4193819456377152,9
لس,prev,0.9910760598353369,9
لس,next,2.2810361125447676,9
لذ,prev,0.764204506505735,9
لذ,next,1.3921472236602066,9
اش,prev,2.0588138903239876,9
اش,next,2.6416041678584943,9
ٱنص,prev,1.8910611120668819,9
ٱنص,next,1.4466166676224375,9
ٱن,prev,1.842370993171338,7
ٱن,next,1.950212064908976,7
وش,prev,1.1488348542765885,7
وش,next,1.842370993171338,7
يش,prev,0.6500224216454688,6
يش,next,1.9182958340487186,6
ٱنش,prev,2.2516291673806093,6
ٱنش,next,0.9182958340516041,6
يج,prev,1.2516291673834947,6
يج,next,1.4591479170229167,6
ٱز,prev,0.9709505944517833,5
ٱز,next,1.3709505944503406,5
اظ,prev,1.9219280948815916,5
اظ,next,1.9219280948815916,5
لد,prev,0.8112781244562475,4
لد,next,0.8112781244562475,4
طت,prev,1.499999999995672,4
طت,next,1.9999999999942293,4
ٱنك,prev,0.9182958340516041,3
ٱنك,next,0.9182958340516041,3
يغ,prev,1.584962500716828,3
يغ,next,1.584962500716828,3
وظ,prev,-1.4428232973175175e-12,2
وظ,next,0.9999999999971146,2
يذ,prev,0.9999999999971146,2
يذ,next,0.9999999999971146,2
